headline,is_positive
 bảo vệ các khu vực đồng cỏ và đồng cỏ ướt: đảm bảo tồn tại của các loài động vật.,1
 bảo vệ đại dương: đảm bảo sinh kế và đa dạng sinh học.,1
 bảo vệ khu vực đất ngập nước: bảo tồn môi trường sống và ngăn ngừa lũ lụt.,1
 bảo vệ rạn san hô và môi trường biển: bảo tồn hệ sinh thái biển và loài động vật.,1
 bảo vệ rừng ngập mặn và vùng đồng bằng: bảo tồn môi trường sống và ngăn ngừa xâm nhập mặn.,1
 bảo vệ và phục hồi hệ sinh thái rừng: đảm bảo nguồn cung cấp ôxy và đa dạng sinh học.,1
 bảo vệ và phục hồi môi trường sông hồ: bảo tồn nguồn nước và đa dạng sinh học.,1
 bảo vệ vùng biển và đồng cỏ ướt: giữ gìn môi trường sống của các loài.,1
 chính sách môi trường hiệu quả: xây dựng cơ sở hạ tầng xanh.,1
 chính sách phát triển du lịch bền vững: bảo vệ môi trường và văn hóa địa phương.,1
 chính sách quản lý và bảo tồn vùng đồng cỏ: bảo vệ môi trường sống của động vật hoang dã.,1
 chính sách tái định cư đồng bằng: bảo vệ đa dạng sinh học và nguồn nước.,1
 chính sách về năng lượng sạch: đẩy mạnh sử dụng nguồn năng lượng tái tạo.,1
 chuyển đổi thành phố thành xanh: tạo ra một môi trường sống tốt hơn.,1
 công nghệ thông minh trong quản lý chất thải.,1
 công nghiệp hóa thông minh: tối ưu hóa hiệu suất và giảm tác động môi trường.,1
 giảm tiêu thụ nhựa: hành động để giảm ô nhiễm biển.,1
 hệ điều hành môi trường: tái thiết kế tương lai.,1
 kỹ thuật tái chế nước: tái sử dụng và khai thác tối đa nguồn nước.,1
 kỹ thuật xây dựng xanh: xây dựng nhà cửa thân thiện với môi trường.,1
 năng lượng mặt trời trong đời sống hàng ngày: sử dụng năng lượng mặt trời để tiết kiệm năng lượng.,1
 phát triển nông nghiệp hữu cơ: tái tạo đất đai và bảo vệ môi trường.,1
 quản lý chất thải công nghiệp: xử lý an toàn và giảm tác động môi trường.,1
 quản lý sông hồ và vùng đồng bằng: bảo vệ nguồn nước và môi trường sống.,1
 quản lý thông minh của hệ thống nước: tiết kiệm và sử dụng tài nguyên nước một cách hiệu quả.,1
 quản lý và bảo tồn vùng đồng cỏ ướt: bảo vệ môi trường sống của chim và động vật.,1
 sử dụng công nghệ hợp thành phần trong sản xuất: tiết kiệm tài nguyên và giảm khí thải.,1
 sử dụng công nghệ thông minh trong quản lý môi trường đô thị.,1
 sử dụng công nghệ thông minh trong quản lý năng lượng: tăng cường hiệu suất và tiết kiệm năng lượng.,1
 sử dụng công nghệ thông minh trong quản lý nước và chất thải.,1
 sử dụng công nghệ thông minh trong quản lý rừng: giảm tác động môi trường và bảo vệ đa dạng sinh học.,1
 sử dụng công nghệ xanh trong quản lý chất thải: tái chế và xử lý an toàn.,1
 sử dụng công nghệ xanh trong sản xuất công nghiệp: giảm khí thải và tài nguyên.,1
 sử dụng công nghệ xanh trong sản xuất nông nghiệp: giảm sử dụng hóa chất và tăng năng suất.,1
 sử dụng công nghệ xanhtiếp tục:,1
 sử dụng giao thông công cộng và xe điện: giảm khí thải ô nhiễm.,1
 sử dụng hệ thống vận chuyển công cộng: giảm ô nhiễm không khí và kẹt xe.,1
 sử dụng năng lượng mặt trời và gió: đẩy mạnh chuyển đổi năng lượng sạch.,1
 sử dụng năng lượng sạch trong công nghiệp: giảm khí thải và tiêu thụ năng lượng.,1
 sử dụng nước một cách bền vững: đảm bảo nguồn nước sạch cho tương lai.,1
 sử dụng vật liệu tự nhiên và tái chế trong xây dựng.,1
 sử dụng vật liệu xanh trong kiến trúc và xây dựng.,1
 tái chế điện tử: giảm khí thải và tài nguyên trái đất.,1
 tăng cường quản lý rừng: bảo vệ nguồn cung cấp ôxy và đa dạng sinh học.,1
"""bảo vệ môi trường, bảo vệ cuộc sống""",0
"""bảo vệ môi trường, bảo vệ trái đất""",0
"""bảo vệ môi trường, bảo vệ tương lai""",1
"""bảo vệ môi trường, bảo vệ tương lai""",1
"""bảo vệ môi trường, bảo vệ tương lai""",0
"""chăm sóc môi trường, chăm sóc tương lai""",1
"""chăm sóc môi trường, chăm sóc tương lai""",1
"""cuộc sống xanh, tương lai tươi sáng""",1
"""cuộc sống xanh, tương lai tươi sáng""",1
"""hành động lớn, tương lai lớn hơn""",1
"""hành động lớn, tương lai lớn hơn""",1
"""hành động ngay, đóng góp cho một tương lai bền vững""",1
"""hành động ngay, đóng góp cho một tương lai bền vững""",1
"""hành động ngay, ngăn chặn ô nhiễm môi trường""",0
"""hành động nhỏ, ảnh hưởng lớn: cùng nhau thay đổi thế giới""",1
"""hành động nhỏ, ảnh hưởng lớn: cùng nhau thay đổi thế giới""",1
"""hãy là phần của giải pháp, không phải là phần của vấn đề""",1
"""hãy là phần của giải pháp, không phải là phần của vấn đề""",1
"""hãy làm chủ thay đổi, không chỉ để thay đổi""",1
"""hãy làm chủ thay đổi, không chỉ để thay đổi""",1
"""hãy sống xanh, hãy sống tốt""",1
"""hãy sống xanh, hãy sống tốt""",1
"""làm sạch, tái chế, làm mới: hành động cho một hành tinh sạch""",1
"""làm sạch, tái chế, làm mới: hành động cho một hành tinh sạch""",1
"""môi trường tốt, tương lai tươi sáng""",1
"""môi trường tốt, tương lai tươi sáng""",1
"""sống đơn giản, sống xanh""",1
"""sống đơn giản, sống xanh""",1
"""sống xanh, hành động xanh: đối phó với ô nhiễm môi trường""",0
"""sống xanh, yêu môi trường""",1
"""sống xanh, yêu môi trường""",1
"""tiết kiệm năng lượng, bảo vệ môi trường""",1
"""tiết kiệm năng lượng, bảo vệ môi trường""",1
"""tôn trọng môi trường, tôn trọng cuộc sống""",1
"""tôn trọng môi trường, tôn trọng cuộc sống""",1
"""xanh hơn, sạch hơn, hạnh phúc hơn""",1
"""xanh hơn, sạch hơn, hạnh phúc hơn""",1
"""yêu hành tinh, chăm sóc môi trường""",1
"""yêu hành tinh, chăm sóc môi trường""",1
"""yêu môi trường, yêu cuộc sống""",1
"""yêu môi trường, yêu cuộc sống""",1
ảnh hưởng của ô nhiễm nước đến cây cối và rừng,0
ảnh hưởng của ô nhiễm nước đến đại dương và đảo quốc,0
ảnh hưởng của ô nhiễm tiếng ồn đến môi trường sống,0
bảo tồn đa dạng sinh học: tương lai xanh cho hành tinh.,1
bên trong cuộc chiến với ô nhiễm môi trường,0
biên đạo của ô nhiễm môi trường: những kẻ độc tài của hành tinh,0
biến đổi môi trường thành một cơ hội,1
biến đổi môi trường thành một cơ hội,1
biến mọi ngày trở thành ngày môi trường,1
biến mọi ngày trở thành ngày môi trường,1
các biện pháp phòng ngừa ô nhiễm nước,0
các chất gây ô nhiễm không khí và ảnh hưởng của chúng,0
các công nghệ giảm ô nhiễm không khí trong công nghiệp,0
các loại chất ô nhiễm thường gặp trong nước,0
các loại chất ô nhiễm thường gặp trong nước,0
các nguồn gây ra ô nhiễm tiếng ồn và biện pháp kiểm soát,0
các nguồn gốc của ô nhiễm nước,0
các nguyên nhân gây ô nhiễm không khí và cách giải quyết,0
các nguyên nhân gây ô nhiễm nước và cách giải quyết,0
cùng nhau chăm sóc và bảo vệ môi trường,1
cùng nhau chăm sóc và bảo vệ môi trường,1
đảo chứng ô nhiễm: khi môi trường không còn là nơi sống,0
đặt hành tinh lên hàng đầu: bảo vệ chống lại ô nhiễm môi trường,0
đặt hành trình bảo vệ môi trường vào đầu,1
đặt hành trình bảo vệ môi trường vào đầu,1
đặt hành trình bảo vệ môi trường vào đầu: dừng ô nhiễm môi trường,0
đặt hành trình xanh vào đầu,1
đặt hành trình xanh vào đầu,1
đặt môi trường lên hàng đầu ưu tiên của bạn,1
đặt môi trường lên hàng đầu ưu tiên của bạn,1
đặt môi trường lên hàng đầu: chúng ta không có hành tinh thứ hai,1
đặt môi trường lên hàng đầu: chúng ta không có hành tinh thứ hai,1
giải pháp công nghệ xử lý nước thải để giảm ô nhiễm,0
hành động ngay bây giờ để thay đổi tương lai,1
hành động ngay bây giờ để thay đổi tương lai,1
hành động ngay hôm nay để bảo vệ môi trường,1
hành động ngay hôm nay để bảo vệ môi trường,1
"hành động ngay hôm nay, cứu rừng và hồi sinh môi trường",1
hành tinh bị tổn thương: hãy chấm dứt ô nhiễm môi trường,0
hành tinh đang chết: hãy ngăn chặn ô nhiễm môi trường,0
hành tinh đang khóc: đừng để ô nhiễm môi trường tiếp tục,0
hành tinh đau khổ: hãy ngăn chặn ô nhiễm môi trường,0
hành tinh khóc lóc: đừng để ô nhiễm môi trường tiếp tục,0
hành tinh trong nguy cơ: đánh thức ý thức bảo vệ môi trường,0
hành tinh trong nguy cơ: tìm hiểu về ô nhiễm môi trường,0
hành trình đảo ngược ô nhiễm: bước đi cho một tương lai sạch hơn,0
hãy dừng ô nhiễm môi trường trước khi quá muộn,0
hãy là nhà lãnh đạo trong việc bảo vệ môi trường,1
hãy là nhà lãnh đạo trong việc bảo vệ môi trường,1
hãy làdưới đây là 100 tiêu đề tích cực về môi trường,1
hãy làm phép màu cho hành tinh của chúng ta,1
hãy làm phép màu cho hành tinh của chúng ta,1
hãy làm phép màu cho hành tinh của chúng ta,1
hãy làm phép màu cho hành tinh của chúng ta,1
hãy làm phép màu cho hành tinh xanh,1
hãy làm phép màu cho hành tinh xanh,1
hãy làm sạch hành tinh của chúng ta: đánh bại ô nhiễm môi trường,0
hãy làm sạch và bảo vệ môi trường cho một hành tinh khỏe mạnh,1
hãy làm sạch và bảo vệ môi trường cho một hành tinh khỏe mạnh,1
hãy thức tỉnh: môi trường đang khóc,0
hệ thống xử lý nước thải và giảm ô nhiễm,0
hiểm họa ô nhiễm không khí và tác động đến sức khỏe,0
hiểm họa ô nhiễm nước và ảnh hưởng đến môi trường,0
hiểm họa ô nhiễm nước và tác động đến môi trường,0
hiện tượng ô nhiễm không khí từ rác thải và khói bụi,0
hiện tượng ô nhiễm nước do rác thải nhựa,0
hiệu quả của biện pháp giảm ô nhiễm không khí,0
hiệu ứng nhà kính và ô nhiễm không khí,0
hiểu về ô nhiễm môi trường: nguy cơ vượt qua giới hạn,0
khẩn cấp! hành tinh đang cháy: dừng ô nhiễm môi trường,0
khi hành tinh khóc: đau thương của ô nhiễm môi trường,0
khi thiên nhiên khóc: đặt dấu chấm hết cho ô nhiễm môi trường,0
mang sự sống trở lại vào môi trường của chúng ta,1
mang sự sống trở lại vào môi trường của chúng ta,1
mang trái tim xanh vào mỗi hành động,1
mang trái tim xanh vào mỗi hành động,1
mô hình nông nghiệp bền vững: gắn kết sản xuất và môi trường.,1
môi trường là ngôi nhà chung của chúng ta,1
môi trường là ngôi nhà chung của chúng ta,1
môi trường sạch là sức khỏe cho mọi người.,1
môi trường trong nguy cơ: chúng ta có trách nhiệm bảo vệ,0
năng lượng tái tạo: điểm sáng trong cuộc cách mạng năng lượng.,1
nguy cơ không lường trước: ô nhiễm môi trường và những hậu quả,0
nguy cơ tuyệt chủng: ô nhiễm môi trường là nguyên nhân chính,0
nhìn xa hơn: hậu quả của ô nhiễm môi trường,0
những biện pháp phòng ngừa và giảm ô nhiễm nước,0
những loại chất ô nhiễm hóa học trong nước,0
những nguyên nhân gây ô nhiễm không khí từ giao thông,0
những nguyên nhân gây ô nhiễm nước,0
những nguyên nhân gây ô nhiễm nước từ nông nghiệp,0
những tác nhân gây ô nhiễm nước từ hoạt động công nghiệp,0
ô nhiễm không giới hạn: hiểm họa vô tận,0
ô nhiễm không khí và tác động lên hệ sinh thái đầm phá,0
ô nhiễm không khí và tác động lên hệ sinh thái đô thị,0
ô nhiễm không khí và tác động lên hệ sinh thái nông nghiệp,0
ô nhiễm không khí và tác động lên hệ sinh thái sông ngòi,0
ô nhiễm không khí và tác động lên hệ thống hô hấp,0
ô nhiễm không khí và tác động lên hệ thống thực vật,0
ô nhiễm không khí và tác động lên sinh vật trong môi trường,0
ô nhiễm không khí và thay đổi khí hậu,0
ô nhiễm không khí và tình trạng cạn kiệt nguồn oxy,0
ô nhiễm không khí và tình trạng suy giảm của đại dương,0
ô nhiễm không khí và tình trạng suy giảm của đồng cỏ,0
ô nhiễm không khí và tình trạng suy giảm của rừng,0
ô nhiễm không khí và tình trạng suy thoái môi trường,0
ô nhiễm không khí: vấn đề nghiêm trọng của thế giới,0
ô nhiễm môi trường và biến đổi khí hậu: liên kết nguy hiểm,0
ô nhiễm môi trường và con người: cuộc chiến không đồng hành,0
ô nhiễm môi trường: chúng ta cần hành động ngay bây giờ,0
ô nhiễm môi trường: chúng ta không thể trốn tránh nữa,0
ô nhiễm môi trường: đe dọa hệ sinh thái và đa dạng sinh học,0
ô nhiễm môi trường: đe dọa tương lai của trẻ em,0
ô nhiễm môi trường: hủy diệt từ những hành động hàng ngày,0
ô nhiễm môi trường: kẻ thù vô hình của chúng ta,0
ô nhiễm môi trường: khi chúng ta không còn gì để mất,0
ô nhiễm môi trường: khi chúng ta không còn nơi để trốn,0
ô nhiễm môi trường: khi con người trở thành kẻ thù của mình,0
ô nhiễm môi trường: khi cuộc sống bị chôn vùi,0
ô nhiễm môi trường: khi cuộc sống bị giới hạn,0
ô nhiễm môi trường: khi cuộc sống trở thành nỗi đau,0
ô nhiễm môi trường: khi mọi thứ trở nên vôcùng,0
ô nhiễm môi trường: khi nhân loại trở thành kẻ tàn phá,0
ô nhiễm môi trường: khi sự sống trở nên đáng lo ngại,0
ô nhiễm môi trường: khi sự sống trở thành sự sai lầm,0
ô nhiễm môi trường: khi thiên nhiên than van,0
ô nhiễm môi trường: khi thiên nhiên trở thành nạn nhân,0
ô nhiễm môi trường: mất mát không thể đền bù,0
ô nhiễm môi trường: một thách thức toàn cầu cần giải quyết ngay,0
ô nhiễm môi trường: nguy cơ đe dọa tương lai của chúng ta,0
ô nhiễm môi trường: nguy cơ vượt qua ngưỡng chịu đựng,0
ô nhiễm môi trường: sự tiến thoái lưỡng nan của con người,0
ô nhiễm môi trường: tiếng gọi cầu cứu từ hành tinh của chúng ta,0
ô nhiễm nước và hệ thống xử lý nước thải,0
ô nhiễm nước và sự suy giảm của nguồn nước ngầm,0
ô nhiễm nước và sự suy giảm của nguồn nước ngọt,0
ô nhiễm nước và suy thoái nguồn nước ngọt,0
ô nhiễm nước và tác động lên cuộc sống của cộng đồng,0
ô nhiễm nước và tác động lên đời sống động vật,0
ô nhiễm nước và tác động lên hệ sinh thái đại dương,0
ô nhiễm nước và tác động lên hệ sinh thái đầm phá,0
ô nhiễm nước và tác động lên hệ sinh thái sông ngòi,0
ô nhiễm nước và tác động lên hệ thống sinh vật trong ao hồ,0
ô nhiễm nước và tác động lên hệ thống sinh vật trong biển,0
ô nhiễm nước và tác động lên hệ thống sinh vật trong hồ chứa,0
ô nhiễm nước và tác động lên hệ thống sinh vật trong sông,0
ô nhiễm nước và tác động lên sinh vật trong môi trường nước,0
ô nhiễm nước và tình trạng cạn kiệt nguồn nước,0
ô nhiễm nước và tình trạng cạn kiệt nguồn nước mặt,0
ô nhiễm nước và tình trạng cạn kiệt tài nguyên nước,0
ô nhiễm nước và tình trạng suy giảm của đại dương,0
ô nhiễm nước và tình trạng suy giảm của đồng cỏ,0
ô nhiễm nước và tình trạng suy thoái của rừng mưa nhiệt đới,0
ô nhiễm nước và tình trạng suy thoái môi trường,0
ô nhiễm nước: nguy cơ cho đại dương và hồ chứa,0
ô nhiễm nước: vấn đề lớn của thế giới ngày nay,0
ô nhiễm tiếng ồn: vấn đề đáng lo ngại trong đô thị,0
sống hòa hợp với thiên nhiên: mục tiêu của chúng ta,1
sống hòa hợp với thiên nhiên: mục tiêu của chúng ta,1
sống vi vu và bảo vệ hành tinh,1
sống vi vu và bảo vệ hành tinh,1
sos! hành tinh đang bị ô nhiễm,0
sử dụng công nghệ xanh để giảm tiêu thụ năng lượng.,1
sự phát triển bền vững: điều chỉnh cân bằng giữa con người và tự nhiên.,1
tác động của ô nhiễm không khí đến môi trường sống,0
tác động của ô nhiễm nước đến sức khỏe con người,0
tác động của ô nhiễm nước đến sức khỏe con người,0
tái chế và tái sử dụng: cùng nhau xây dựng môi trường không rác thải.,1
tạo ra môi trường bền vững cho thế hệ tương lai,1
tạo ra môi trường bền vững cho thế hệ tương lai,1
thế giới trong nguy cơ: đánh thức ý thức về ô nhiễm môi trường,0
tiếng ồn giao thông và ảnh hưởng đến tình trạng sức khỏe,0
tiếng ồn trong công nghiệp và hiệu quả giảm thiểu,0
tiếng ồn từ các hoạt động xây dựng và tác động lên cộng đồng,0
tiếng ồn và hiểm họa đến sức khỏe của con người,0
tiếng ồn và mối quan hệ với các bệnh tim mạch,0
tiếng ồn và tác động lên giấc ngủ và sức khỏe tâm lý,0
tiếng ồn và tác động lên hệ thần kinh,0
tiếng ồn và tác động lên hệ tiêu hóa,0
tiếng ồn và tác động lên trẻ em và học tập,0
tiếng ồn và tình trạng stress trong cuộc sống hàng ngày,0
tiếng ồn và tình trạng suy giảm chất lượng cuộc sống,0
tiếng ồn và tình trạng suy giảm thính giác,0
tình trạng ô nhiễm môi trường: đe dọa đến sức khỏe và tương lai của chúng ta,0
trạng ô nhiễm môi trường: đe dọa đến sức khỏe và tương lai của chúng ta,1
tự hào về môi trường của chúng ta,1
tự hào về môi trường của chúng ta,1
tương lai mờ mịt: đối mặt với ô nhiễm môi trường,0
vắng bóng xanh: sự diệt chủng của môi trường,0
xây dựng cộng đồng xanh cho mọi người,1
xây dựng cộng đồng xanh cho mọi người,1
xây dựng một tương lai xanh cho thế hệ tương lai,1
xây dựng một tương lai xanh cho thế hệ tương lai,1
